 ArticleNumber,MainDesignationText,IngredientText
 2,Beef roulade in gingerbread sauce,"red cabbage, beef, potatoes, water, celery"
 3,Chicken stew in red wine,"chicken breast fillet, potatoes, broccoli, peas, green beans"
 4,Pork tenderloin in mushroom sauce,"potatoes, pork tenderloin, broccoli, carrots, water"
 5,Vegetarian gnocchi dish,"potatoes, bell peppers, soft cheese, durum wheat semolina, water"
 6,Chicken roast sausage in gravy,"potatoes, water, broccoli, carrots, chicken meat"
 7,Pork belly in gravy,"potatoes, water, red cabbage, pork belly, whole milk"
 8,Ancient ham in gravy,"spinach, potatoes, water, pork, whole milk"
 9,Kasseler rib in gravy,"potatoes, water, broccoli, pork, carrots"
10,Beef roulade in gravy,"potatoes, water, cauliflower, beef, romanesco"
11,Beef goulash in sauce,"potatoes, carrots, water, beef, onions"
12,Spaghetti Bolognese,"water, whole grain durum wheat semolina, tomatoes, beef, onions"
13,Salmon fillet in mustard sauce,"spinach, potatoes, water, salmon fillet, cream"
15,Hake fillet in butter sauce,"vegetables, hake, sweet potato, whole milk, potatoes"
16,Beef roulade in sauce,"potatoes, red cabbage, beef, beef broth, water"
17,Chicken breast in tomato sauce,"water, chicken breast fillet, rice, tomatoes, broccoli"
18,Tomato cream soup,"water, tomatoes, cream, tomato paste, onions"
19,Asparagus cream soup,"asparagus stock, cream, whole milk, asparagus, butter"
20,Festival soup,"water, cauliflower, chicken fat, chicken eggs, skim milk"
21,Spring soup with noodles,"water, cauliflower, peas, celery, carrots"
22,Chinese vegetable soup,"water, chicken breast fillet, leek, sugar, wood ear mushrooms"
23,Mushroom cream soup,"water, whole milk, mushrooms, cream, onions"
24,Apple compote,"apples, water, sugar, raisins, modified corn starch"
25,Vegetable soup,"water, carrots, cauliflower, turkey meat, chicken meat"
26,Clear chicken soup,"water, chicken meat, iodized table salt, natural flavor, chicken fat"
27,Stewed pear pieces,"pears halved, fruit stock"
28,Onion soup,"water, onions, beef broth, apple juice, modified corn starch"
29,Spaghetti Bolognese,"water, durum wheat semolina, tomatoes, beef, pork"
30,Carrot cream soup,"water, cream, carrots, carrot juice concentrate, apples"
31,Asparagus cream soup,"asparagus, vegetable broth, cream, whole milk, sour cream"
32,Broccoli cream soup,"water, broccoli, cream, milk protein, canola oil"
33,Poultry cream soup,"water, cream, chicken breast fillet, poultry broth, canola oil"
34,Pea cream soup,"water, peas, cream, sour cream, onions"
35,Pumpkin cream soup,"skim milk, pumpkin, parsnips, cream, canola oil"
36,Lentil cream soup with apple,"apples, carrot juice, skim milk, water, cream"
37,Veal strips,"water, broccoli, veal meat, durum wheat semolina, whole milk"
38,Puréed snack slice,"water, wheat flour, butter, canola oil, chicken egg yolk"
39,Puréed snack slice,"water, butter, canola oil, maltodextrin, rye wholemeal groats"
40,Meatballs in mushroom sauce,"water, mushrooms, green beans, durum wheat semolina, pork"
41,Fried sausages,"potatoes, white cabbage, pork, water, whole milk"
42,Meat rolls Balkan style,"potatoes, pork, beef broth, water, tomatoes"
43,Chili con Carne,"water, beef broth, rice, beef, kidney beans"
44,"Beef meatball ""Greek style""","water, tomatoes, beef, bell peppers, rice"
45,Grilled pork snail,"potatoes, water, pork, swedes, carrots"
46,"Meatballs ""Königsberger Art""","potatoes, beetroot, water, pork, whole milk"
47,Beef meatballs in sauce,"potatoes, red cabbage, beef broth, beef, water"
48,Two pork cabbage rolls,"potatoes, water, white cabbage, pork, pork broth"
49,Curry sausage with potato wedges,"potatoes, water, pork, tomato paste, bacon"
50,Kasseler roast in sauce,"potatoes, white cabbage, pork, water, beef broth"
51,Natural schnitzel in sauce,"green beans, potatoes, pork, water, beef broth"
52,Sunday roast pork,"potatoes, Brussels sprouts, pork, pork broth, pork belly"
53,Pork medallions,"water, red cabbage, pork, durum wheat semolina, pork broth, apples, cream, chicken eggs, sugar, canola oil"
